Gene ID,Seed_Gene,GeneA,GeneB
19,PTPN22,26191,60386
19,PTPN22,26191,51150
19,PTPN22,26191,79568
19,PTPN22,26191,91582
19,PTPN22,26191,119559
19,PTPN22,26191,3646
19,PTPN22,26191,3315
19,PTPN22,26191,5954
19,PTPN22,26191,27034
19,PTPN22,26191,2746
19,PTPN22,26191,10456
19,PTPN22,26191,9997
19,PTPN22,26191,9050
19,PTPN22,26191,93594
19,PTPN22,26191,374654
19,PTPN22,26191,1445
19,PTPN22,26191,84445
19,PTPN22,26191,22994
19,PTPN22,26191,10464
19,PTPN22,26191,9851
19,PTPN22,26191,57534
19,PTPN22,26191,29079
19,PTPN22,26191,117178
19,PTPN22,26191,165055
20,RASGRP1,5495,10125
20,RASGRP1,7428,10125
20,RASGRP1,8525,10125
20,RASGRP1,11194,10125
21,RIPK2,8767,8767
21,RIPK2,8767,8767
21,RIPK2,8767,8767
21,RIPK2,329,8767
21,RIPK2,330,8767
21,RIPK2,8767,330
21,RIPK2,329,8767
21,RIPK2,8767,329
21,RIPK2,84674,8767
21,RIPK2,8767,115207
21,RIPK2,8767,11331
21,RIPK2,8767,6208
21,RIPK2,8767,6169
21,RIPK2,64127,8767
21,RIPK2,57506,8767
21,RIPK2,8767,7186
21,RIPK2,57506,8767
21,RIPK2,64127,8767
21,RIPK2,8767,64127
21,RIPK2,8767,8517
21,RIPK2,8767,6885
21,RIPK2,8767,10454
21,RIPK2,8767,23118
21,RIPK2,329,8767
21,RIPK2,330,8767
21,RIPK2,331,8767
21,RIPK2,329,8767
21,RIPK2,330,8767
21,RIPK2,329,8767
21,RIPK2,330,8767
21,RIPK2,64127,8767
21,RIPK2,8767,64127
